                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4923,                 2.0608,                  1.353,                0.47818,                0.45895,                0.40616,                0.17067,                 2.0973,                 1.8828,                 1.4706,             0.00041498,             0.00041498,             0.00041498
                      2,                 1.5194,                 1.5795,                 1.3824,                0.47636,                0.47063,                0.43024,                0.16806,                 2.1985,                 1.7196,                  1.507,             0.00082341,             0.00082341,             0.00082341
                      3,                 1.5402,                 1.4686,                 1.4094,                0.38558,                0.41832,                0.34468,                0.13544,                 2.2304,                  2.434,                 1.6147,              0.0012236,              0.0012236,              0.0012236
                      4,                  1.523,                 1.3899,                 1.3983,                0.41924,                0.32222,                0.32383,                0.13271,                 2.1765,                 2.0849,                 1.6005,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4984,                 1.3058,                 1.3895,                0.59097,                0.48481,                0.50209,                 0.1826,                   2.17,                  1.553,                 1.4986,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4737,                 1.2552,                 1.3782,                0.52884,                0.48805,                0.49552,                0.20883,                 2.0796,                 1.4761,                 1.4857,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4553,                 1.1981,                  1.361,                0.56168,                0.48831,                0.51192,                0.22022,                 2.0636,                 1.4315,                  1.474,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.4389,                 1.1802,                 1.3516,                0.56795,                0.46682,                0.50297,                0.20267,                 2.1242,                 1.4877,                  1.503,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4335,                 1.1407,                 1.3378,                0.64059,                0.47853,                0.51789,                0.22106,                 2.0504,                 1.4268,                  1.469,               0.001151,               0.001151,               0.001151
                     10,                 1.4147,                 1.1205,                 1.3333,                0.53899,                0.53204,                0.50904,                0.23144,                 2.0316,                 1.4083,                 1.4675,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3997,                 1.1005,                 1.3276,                0.60141,                0.54743,                0.56908,                0.25689,                 2.0011,                 1.3265,                 1.4327,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.3888,                 1.0745,                 1.3196,                0.60708,                0.54903,                0.56463,                 0.2593,                 2.0156,                 1.2908,                  1.438,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.3707,                 1.0598,                 1.3094,                0.58558,                0.54144,                  0.565,                0.25977,                  1.995,                 1.3257,                 1.4341,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.3687,                 1.0366,                 1.3033,                0.58356,                0.52811,                0.55619,                0.23902,                 2.0289,                 1.3343,                 1.4526,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.3685,                 1.0319,                 1.3053,                 0.5118,                0.54202,                0.53143,                0.24895,                 1.9884,                 1.3885,                 1.4581,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.3522,                 1.0113,                 1.2969,                0.64323,                0.47927,                0.54218,                0.24219,                 2.0134,                 1.4076,                 1.4543,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3394,                0.99294,                 1.2844,                0.63249,                0.54352,                0.58296,                 0.2733,                 1.9576,                 1.2916,                 1.4074,               0.001052,               0.001052,               0.001052
                     18,                 1.3285,                0.98339,                 1.2838,                 0.5988,                0.50225,                0.52787,                0.24106,                  1.986,                 1.4018,                 1.4358,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.3297,                0.97831,                  1.277,                0.66145,                0.51339,                0.55415,                0.25062,                 2.0062,                 1.3284,                 1.4466,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.3261,                0.96918,                  1.276,                0.65334,                0.50715,                0.54813,                0.25141,                 2.0065,                 1.3612,                 1.4439,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.3149,                 0.9528,                 1.2651,                 0.6587,                0.51735,                0.57296,                0.27259,                 1.9673,                  1.271,                  1.417,              0.0010025,              0.0010025,              0.0010025
                     22,                  1.311,                0.95408,                 1.2731,                 0.6143,                 0.5207,                0.54783,                 0.2535,                 1.9782,                 1.3476,                 1.4329,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.3066,                0.93464,                 1.2656,                0.60066,                 0.5654,                0.57621,                0.26161,                 1.9725,                 1.3306,                 1.4316,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.304,                0.93535,                 1.2693,                0.63217,                0.52307,                0.55487,                0.25841,                 1.9761,                 1.3096,                 1.4386,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.2956,                 0.9253,                 1.2499,                0.60232,                0.55052,                0.57546,                0.26758,                 1.9408,                   1.35,                 1.4028,               0.000953,               0.000953,               0.000953
                     26,                 1.2944,                0.91928,                 1.2589,                0.63957,                0.61428,                0.61663,                0.28858,                 1.9506,                 1.2172,                 1.4029,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.2861,                0.90562,                 1.2596,                0.61646,                0.59576,                0.60079,                0.28011,                 1.9452,                 1.2235,                 1.4013,             0.00092825,             0.00092825,             0.00092825
                     28,                  1.275,                0.89921,                 1.2486,                0.62689,                 0.5532,                 0.5912,                0.28174,                  1.924,                 1.2595,                 1.3956,             0.00091588,             0.00091588,             0.00091588
                     29,                   1.27,                0.88675,                 1.2438,                0.59385,                0.55927,                0.57804,                0.27164,                  1.956,                 1.2514,                 1.4051,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.2674,                 0.8896,                 1.2394,                0.65396,                0.53031,                0.57151,                0.26794,                 1.9553,                 1.2702,                 1.4048,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.2696,                0.89057,                 1.2437,                0.65898,                0.55321,                0.58908,                0.27086,                 1.9619,                 1.2756,                 1.4116,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.2548,                0.86241,                 1.2319,                0.62777,                0.59452,                0.60707,                0.27876,                 1.9826,                 1.2247,                 1.4324,             0.00086637,             0.00086637,             0.00086637
                     33,                  1.269,                0.87602,                 1.2436,                0.63825,                0.54487,                 0.5824,                0.27056,                  1.958,                 1.2786,                 1.4169,               0.000854,               0.000854,               0.000854
                     34,                 1.2524,                0.86551,                 1.2306,                0.61042,                0.56021,                0.58799,                0.28001,                 1.9357,                 1.2348,                 1.3881,             0.00084162,             0.00084162,             0.00084162
